gt_label,metric_name,n_samples,flip_rate,metric_mean,run
467,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
467,gt_prob_drop,10,,0.012750985034654152,imagenet_mnv2_050_exact
467,gt_logit_drop,10,,0.1776968340575695,imagenet_mnv2_050_exact
467,margin_drop,10,,0.07858143657445907,imagenet_mnv2_050_exact
467,loss_increase,10,,0.035269519082954566,imagenet_mnv2_050_exact
467,gt_rank_worsening,10,,1.1375,imagenet_mnv2_050_exact
149,flip_correct_to_wrong,10,0.0025,0.0025,imagenet_mnv2_050_exact
149,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
149,pred_changed,10,0.05874999999999999,0.05874999999999999,imagenet_mnv2_050_exact
149,topk_exit,10,0.00625,0.00625,imagenet_mnv2_050_exact
149,gt_prob_drop,10,,0.008728748880093918,imagenet_mnv2_050_exact
149,gt_logit_drop,10,,0.21342043168842792,imagenet_mnv2_050_exact
149,margin_drop,10,,0.10135250091552735,imagenet_mnv2_050_exact
149,loss_increase,10,,0.036247329388099124,imagenet_mnv2_050_exact
149,gt_rank_worsening,10,,0.12874999999999998,imagenet_mnv2_050_exact
476,flip_correct_to_wrong,10,0.0075,0.0075,imagenet_mnv2_050_exact
476,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
476,pred_changed,10,0.0075,0.0075,imagenet_mnv2_050_exact
476,topk_exit,10,0.02375,0.02375,imagenet_mnv2_050_exact
476,gt_prob_drop,10,,0.020811910077463837,imagenet_mnv2_050_exact
476,gt_logit_drop,10,,0.25026481501292436,imagenet_mnv2_050_exact
476,margin_drop,10,,0.14861617743968963,imagenet_mnv2_050_exact
476,loss_increase,10,,0.04316638363854852,imagenet_mnv2_050_exact
476,gt_rank_worsening,10,,-0.03625,imagenet_mnv2_050_exact
80,flip_correct_to_wrong,10,0.00125,0.00125,imagenet_mnv2_050_exact
80,flip_wrong_to_correct,10,0.013750000000000002,0.013750000000000002,imagenet_mnv2_050_exact
80,pred_changed,10,0.030000000000000006,0.030000000000000006,imagenet_mnv2_050_exact
80,topk_exit,10,0.009999999999999998,0.009999999999999998,imagenet_mnv2_050_exact
80,gt_prob_drop,10,,0.005132513630669565,imagenet_mnv2_050_exact
80,gt_logit_drop,10,,0.19765438564121723,imagenet_mnv2_050_exact
80,margin_drop,10,,0.02734723329544067,imagenet_mnv2_050_exact
80,loss_increase,10,,0.02837796518746762,imagenet_mnv2_050_exact
80,gt_rank_worsening,10,,0.02125,imagenet_mnv2_050_exact
50,flip_correct_to_wrong,10,0.04125,0.04125,imagenet_mnv2_050_exact
50,flip_wrong_to_correct,10,0.034999999999999996,0.034999999999999996,imagenet_mnv2_050_exact
50,pred_changed,10,0.11125,0.11125,imagenet_mnv2_050_exact
50,topk_exit,10,0.02125,0.02125,imagenet_mnv2_050_exact
50,gt_prob_drop,10,,0.016254629490140362,imagenet_mnv2_050_exact
50,gt_logit_drop,10,,0.20431295499205587,imagenet_mnv2_050_exact
50,margin_drop,10,,0.14109740667045118,imagenet_mnv2_050_exact
50,loss_increase,10,,0.09934437353838636,imagenet_mnv2_050_exact
50,gt_rank_worsening,10,,0.875,imagenet_mnv2_050_exact
366,flip_correct_to_wrong,10,0.01625,0.01625,imagenet_mnv2_050_exact
366,flip_wrong_to_correct,10,0.01875,0.01875,imagenet_mnv2_050_exact
366,pred_changed,10,0.08875,0.08875,imagenet_mnv2_050_exact
366,topk_exit,10,0.0037500000000000007,0.0037500000000000007,imagenet_mnv2_050_exact
366,gt_prob_drop,10,,0.0014841840800727366,imagenet_mnv2_050_exact
366,gt_logit_drop,10,,0.11002547793090342,imagenet_mnv2_050_exact
366,margin_drop,10,,0.03380256295204163,imagenet_mnv2_050_exact
366,loss_increase,10,,0.013508660762880686,imagenet_mnv2_050_exact
366,gt_rank_worsening,10,,0.12,imagenet_mnv2_050_exact
780,flip_correct_to_wrong,10,0.015000000000000003,0.015000000000000003,imagenet_mnv2_050_exact
780,flip_wrong_to_correct,10,0.0025,0.0025,imagenet_mnv2_050_exact
780,pred_changed,10,0.017499999999999998,0.017499999999999998,imagenet_mnv2_050_exact
780,topk_exit,10,0.0,0.0,imagenet_mnv2_050_exact
780,gt_prob_drop,10,,0.0010298538394272329,imagenet_mnv2_050_exact
780,gt_logit_drop,10,,0.20696907766163347,imagenet_mnv2_050_exact
780,margin_drop,10,,0.02276053383946419,imagenet_mnv2_050_exact
780,loss_increase,10,,0.004341183311453766,imagenet_mnv2_050_exact
780,gt_rank_worsening,10,,0.0125,imagenet_mnv2_050_exact
705,flip_correct_to_wrong,10,0.00625,0.00625,imagenet_mnv2_050_exact
705,flip_wrong_to_correct,10,0.0,0.0,imagenet_mnv2_050_exact
705,pred_changed,10,0.05375,0.05375,imagenet_mnv2_050_exact
705,topk_exit,10,0.021249999999999998,0.021249999999999998,imagenet_mnv2_050_exact
705,gt_prob_drop,10,,0.0077353481645695875,imagenet_mnv2_050_exact
705,gt_logit_drop,10,,0.1819490159675479,imagenet_mnv2_050_exact
705,margin_drop,10,,0.016965766325592997,imagenet_mnv2_050_exact
705,loss_increase,10,,0.025983659618993644,imagenet_mnv2_050_exact
705,gt_rank_worsening,10,,0.10125000000000002,imagenet_mnv2_050_exact
473,flip_correct_to_wrong,10,0.0025,0.0025,imagenet_mnv2_050_exact
473,flip_wrong_to_correct,10,0.03625,0.03625,imagenet_mnv2_050_exact
